Rarity,ID
484,00793
485,00915
486,00648
487,00692
488,00905
489,00486
490,00481
491,00394
492,00885
493,00864
494,00916
495,00393
496,00996
497,00944
498,00386
499,00402
500,00718
501,00991
502,00536
503,00959
504,00582
505,00589
506,00709
507,00372
508,00423
509,00564
510,00478
511,00374
512,00662
513,00968
514,00825
515,00453
516,00363
517,00630
518,00863
519,00502
520,00359
521,00673
522,00594
523,00367
524,00551
525,00445
526,00607
527,00435
528,00415
529,00948
530,00567
531,00687
532,00410
533,00411
534,00686
535,00581
536,00769
537,00781
538,00925
539,00425
540,00830
541,00693
542,00665
543,00923
544,00526
545,00776
546,00463
547,00859
548,00413
549,00651
550,00632
551,00713
552,00911
553,00771
554,00832
555,00468
556,00525
557,00856
558,00612
559,00977
560,00983
561,00614
562,00696
563,00683
564,00738
565,00852
566,00972
567,00472
568,00995
569,00490
570,00723
571,00545
572,00865
573,00806
574,00449
575,00813
576,00421
577,00353
578,00860
579,00456
580,00351
581,00499
582,00992
583,00584
584,00500
585,00652
586,00817
587,00755
588,00951
589,00756
590,00365
591,00675
592,00519
593,00404
594,00998
595,00981
596,00827
597,00544
598,00989
599,00654
600,00819
601,00494
602,00678
603,00757
604,00529
605,00702
606,00524
607,00369
608,00520
609,00821
610,00903
611,00498
612,00650
613,00866
614,00429
615,00963
616,00956
617,00379
618,00873
619,00733
620,00585
621,00454
622,00466
623,00700
624,00521
625,00366
626,00349
627,00626
628,00527
629,00792
630,00516
631,00843
632,00416
633,00690
634,00719
635,00508
636,00439
637,00599
638,00682
639,00613
640,00633
641,00932
642,00841
643,00640
644,00875
645,00426
646,00976
647,00848
648,00535
649,00392
650,00378
651,00437
652,00608
653,00844
654,00619
655,00674
656,00831
657,00949
658,00681
659,00927
660,00920
661,00808
662,00837
663,00621
664,00509
665,00745
666,00904
667,00876
668,00988
669,00532
670,00740
