ID,Background,Back Accessory,Body,Clothes,Mouth,Eyes,Wield,Accessory,Head,Earring,Rarity,Metadata
00344,Sunshine,None,Blue,Ronin White,Smirk,Calm Teal,Cocktail,Bronze Medal,Headband,None,975.2,"{""721"":{""ergoat-00344"":{""index"":00344,""generation"":1,""background"":""Sunshine"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Ronin White"",""mouth"":""Smirk"",""eyes"":""Calm Teal"",""wield"":""Cocktail"",""accessory"":""Bronze Medal"",""head"":""Headband"",""earring"":""None""}}}"
00345,Bloodshot,None,Green,Pink Suit,Grin,Kawaii,Snowball,Red Collar,Dark Cowboy Hat,Hanafudu No1,801.2,"{""721"":{""ergoat-00345"":{""index"":00345,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""None"",""body"":""Green"",""clothes"":""Pink Suit"",""mouth"":""Grin"",""eyes"":""Kawaii"",""wield"":""Snowball"",""accessory"":""Red Collar"",""head"":""Dark Cowboy Hat"",""earring"":""Hanafudu No1""}}}"
00346,Psycho,Green Parrot,Purple,White ERGoat Shirt,Gritted Teeth,Angry Red,Spirit Gun,Silver Medal,Cowboy Hat,None,854.7,"{""721"":{""ergoat-00346"":{""index"":00346,""generation"":1,""background"":""Psycho"",""back_accessory"":""Green Parrot"",""body"":""Purple"",""clothes"":""White ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Red"",""wield"":""Spirit Gun"",""accessory"":""Silver Medal"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
00347,Water Hole,Shoulder Angel,Blue,Black Suit,Flopped,Super,Red Wine,Red Scouter,Santa Hat,Hanafudu No2,711.5,"{""721"":{""ergoat-00347"":{""index"":00347,""generation"":1,""background"":""Water Hole"",""back_accessory"":""Shoulder Angel"",""body"":""Blue"",""clothes"":""Black Suit"",""mouth"":""Flopped"",""eyes"":""Super"",""wield"":""Red Wine"",""accessory"":""Red Scouter"",""head"":""Santa Hat"",""earring"":""Hanafudu No2""}}}"
00348,Psycho,Nine Tales,Orange,Lab Coat No1,Gritted Teeth,Angry Purple,White Wine,Red Energy,Ram Horns,Hanafudu No1,824.5,"{""721"":{""ergoat-00348"":{""index"":00348,""generation"":1,""background"":""Psycho"",""back_accessory"":""Nine Tales"",""body"":""Orange"",""clothes"":""Lab Coat No1"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Purple"",""wield"":""White Wine"",""accessory"":""Red Energy"",""head"":""Ram Horns"",""earring"":""Hanafudu No1""}}}"
00349,Hazy Eve,None,Purple,Lab Coat No1,Missing Tooth,Angry Purple,Tie Dye Wine,Nose Scar,Orange Afro,None,981.2,"{""721"":{""ergoat-00349"":{""index"":00349,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Lab Coat No1"",""mouth"":""Missing Tooth"",""eyes"":""Angry Purple"",""wield"":""Tie Dye Wine"",""accessory"":""Nose Scar"",""head"":""Orange Afro"",""earring"":""None""}}}"
00350,Sunshine,Dark Angel Wings,Purple,Tat Blasted,Sharp,Calm Teal,Katana,Nose Scar,Afro,None,863.4,"{""721"":{""ergoat-00350"":{""index"":00350,""generation"":1,""background"":""Sunshine"",""back_accessory"":""Dark Angel Wings"",""body"":""Purple"",""clothes"":""Tat Blasted"",""mouth"":""Sharp"",""eyes"":""Calm Teal"",""wield"":""Katana"",""accessory"":""Nose Scar"",""head"":""Afro"",""earring"":""None""}}}"
00351,Mustard,None,Purple,Holiday Suit,Flopped,Calm Purple,Trident,Pentagram,Blue Flame,None,903.9,"{""721"":{""ergoat-00351"":{""index"":00351,""generation"":1,""background"":""Mustard"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Holiday Suit"",""mouth"":""Flopped"",""eyes"":""Calm Purple"",""wield"":""Trident"",""accessory"":""Pentagram"",""head"":""Blue Flame"",""earring"":""None""}}}"
00352,Airline Scarf,None,Yellow,Baphomet,Grin,Assassin Gray,White Wine,Red Collar,Xmas Lights,Gold Hoop,795.6,"{""721"":{""ergoat-00352"":{""index"":00352,""generation"":1,""background"":""Airline Scarf"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Baphomet"",""mouth"":""Grin"",""eyes"":""Assassin Gray"",""wield"":""White Wine"",""accessory"":""Red Collar"",""head"":""Xmas Lights"",""earring"":""Gold Hoop""}}}"
00353,Rojo,None,Teal,Pink Suit,Missing Tooth,Calm Purple,Spirit Gun,Nose Scar,Red Beanie,Snow Globe,890.2,"{""721"":{""ergoat-00353"":{""index"":00353,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Pink Suit"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Spirit Gun"",""accessory"":""Nose Scar"",""head"":""Red Beanie"",""earring"":""Snow Globe""}}}"
00354,Cheap Red,Devil Tail,Red,Black Suit,Pierced Tongue,Crazy Yellow,Cigarette,Green Energy,Dark Cowboy Hat,Pentagram,798,"{""721"":{""ergoat-00354"":{""index"":00354,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""Devil Tail"",""body"":""Red"",""clothes"":""Black Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Crazy Yellow"",""wield"":""Cigarette"",""accessory"":""Green Energy"",""head"":""Dark Cowboy Hat"",""earring"":""Pentagram""}}}"
00355,Mustard,Red Parrot,Yellow,Holiday ERGoat Shirt,Gritted Teeth,Crazy Yellow,Tie Dye Wine,3D Glasses No2,Pink Neon Horns,Ruby Stud,750.1,"{""721"":{""ergoat-00355"":{""index"":00355,""generation"":1,""background"":""Mustard"",""back_accessory"":""Red Parrot"",""body"":""Yellow"",""clothes"":""Holiday ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Yellow"",""wield"":""Tie Dye Wine"",""accessory"":""3D Glasses No2"",""head"":""Pink Neon Horns"",""earring"":""Ruby Stud""}}}"
00356,Skinny Dip,None,Pink,Negan Jacket,Screaming,Angry Red,Cocktail,Mustache,Dark Horns,Snowman,844.8,"{""721"":{""ergoat-00356"":{""index"":00356,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Negan Jacket"",""mouth"":""Screaming"",""eyes"":""Angry Red"",""wield"":""Cocktail"",""accessory"":""Mustache"",""head"":""Dark Horns"",""earring"":""Snowman""}}}"
00357,Airline Scarf,Demon Wings,Blue,Lab Coat No2,Flopped,Calm Teal,Spirit Gun,Silver Medal,Horns,Silver Hoop,735.7,"{""721"":{""ergoat-00357"":{""index"":00357,""generation"":1,""background"":""Airline Scarf"",""back_accessory"":""Demon Wings"",""body"":""Blue"",""clothes"":""Lab Coat No2"",""mouth"":""Flopped"",""eyes"":""Calm Teal"",""wield"":""Spirit Gun"",""accessory"":""Silver Medal"",""head"":""Horns"",""earring"":""Silver Hoop""}}}"
00358,Summer,Devil Tail,Teal,White Suit,Sharp,Crazy Yellow,Cigarette,Nose Scar,Purple Beanie,Snowman,839,"{""721"":{""ergoat-00358"":{""index"":00358,""generation"":1,""background"":""Summer"",""back_accessory"":""Devil Tail"",""body"":""Teal"",""clothes"":""White Suit"",""mouth"":""Sharp"",""eyes"":""Crazy Yellow"",""wield"":""Cigarette"",""accessory"":""Nose Scar"",""head"":""Purple Beanie"",""earring"":""Snowman""}}}"
00359,Mustard,Red Parrot,Green,White Suit,Gritted Teeth,Assassin Green,Christmas Mug,Nose Scar,Ronin Hat,Sapphire Stud,812.2,"{""721"":{""ergoat-00359"":{""index"":00359,""generation"":1,""background"":""Mustard"",""back_accessory"":""Red Parrot"",""body"":""Green"",""clothes"":""White Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Assassin Green"",""wield"":""Christmas Mug"",""accessory"":""Nose Scar"",""head"":""Ronin Hat"",""earring"":""Sapphire Stud""}}}"
00360,Monochrome,Dark Angel Wings,Orange,Blue Ninja Armor,Missing Tooth,Stoned,Trident,Silver Chain Necklace,Royal Guard Hat,Diamond Stud,721.2,"{""721"":{""ergoat-00360"":{""index"":00360,""generation"":1,""background"":""Monochrome"",""back_accessory"":""Dark Angel Wings"",""body"":""Orange"",""clothes"":""Blue Ninja Armor"",""mouth"":""Missing Tooth"",""eyes"":""Stoned"",""wield"":""Trident"",""accessory"":""Silver Chain Necklace"",""head"":""Royal Guard Hat"",""earring"":""Diamond Stud""}}}"
00361,Hazy Eve,None,Gray,Baphomet,Gritted Teeth,Calm Purple,White Wine,Green Scouter,Halo,Ergo Chain,831.6,"{""721"":{""ergoat-00361"":{""index"":00361,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Baphomet"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Purple"",""wield"":""White Wine"",""accessory"":""Green Scouter"",""head"":""Halo"",""earring"":""Ergo Chain""}}}"
00362,Summer,None,Blue,White ERGoat Shirt,Screaming,Angry Red,Snowball,3D Glasses No1,Royal Guard Hat,Hanafudu No2,855.5,"{""721"":{""ergoat-00362"":{""index"":00362,""generation"":1,""background"":""Summer"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""White ERGoat Shirt"",""mouth"":""Screaming"",""eyes"":""Angry Red"",""wield"":""Snowball"",""accessory"":""3D Glasses No1"",""head"":""Royal Guard Hat"",""earring"":""Hanafudu No2""}}}"
00363,Watermelon,Angel Wings,Red,Lab Coat No1,Sharp,Calm Purple,Wolverine,3D Glasses No2,War Helmet,Hanafudu No2,761.4,"{""721"":{""ergoat-00363"":{""index"":00363,""generation"":1,""background"":""Watermelon"",""back_accessory"":""Angel Wings"",""body"":""Red"",""clothes"":""Lab Coat No1"",""mouth"":""Sharp"",""eyes"":""Calm Purple"",""wield"":""Wolverine"",""accessory"":""3D Glasses No2"",""head"":""War Helmet"",""earring"":""Hanafudu No2""}}}"
00364,Seattle Proper,Blue Parrot,Gray,White Suit,Gritted Teeth,Angry Red,Cocktail,Nose Scar,Flame,Off White Tag,826.5,"{""721"":{""ergoat-00364"":{""index"":00364,""generation"":1,""background"":""Seattle Proper"",""back_accessory"":""Blue Parrot"",""body"":""Gray"",""clothes"":""White Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Red"",""wield"":""Cocktail"",""accessory"":""Nose Scar"",""head"":""Flame"",""earring"":""Off White Tag""}}}"
00365,Watermelon Stripe,Monkey Tail,Teal,Black ERGoat Shirt,Sharp,Calm Purple,Wolverine,3D Glasses No2,Green Beanie,None,907.4,"{""721"":{""ergoat-00365"":{""index"":00365,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""Monkey Tail"",""body"":""Teal"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Sharp"",""eyes"":""Calm Purple"",""wield"":""Wolverine"",""accessory"":""3D Glasses No2"",""head"":""Green Beanie"",""earring"":""None""}}}"
00366,Watermelon,None,Yellow,White Suit,Missing Tooth,Angry Purple,Basketball,Gold Chain Necklace,Blue Afro,None,970,"{""721"":{""ergoat-00366"":{""index"":00366,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""White Suit"",""mouth"":""Missing Tooth"",""eyes"":""Angry Purple"",""wield"":""Basketball"",""accessory"":""Gold Chain Necklace"",""head"":""Blue Afro"",""earring"":""None""}}}"
00367,Clover Field,None,Red,Black ERGoat Shirt,Gritted Teeth,Assassin Green,Candy Cane,Gold Chain Necklace,Purple Beanie,Diamond Stud,863.5,"{""721"":{""ergoat-00367"":{""index"":00367,""generation"":1,""background"":""Clover Field"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Assassin Green"",""wield"":""Candy Cane"",""accessory"":""Gold Chain Necklace"",""head"":""Purple Beanie"",""earring"":""Diamond Stud""}}}"
00368,Cloud Light,Monkey Tail,Purple,Ronin White,Flopped,Calm Teal,Cigarette,3D Glasses No2,Orange Afro,None,790.1,"{""721"":{""ergoat-00368"":{""index"":00368,""generation"":1,""background"":""Cloud Light"",""back_accessory"":""Monkey Tail"",""body"":""Purple"",""clothes"":""Ronin White"",""mouth"":""Flopped"",""eyes"":""Calm Teal"",""wield"":""Cigarette"",""accessory"":""3D Glasses No2"",""head"":""Orange Afro"",""earring"":""None""}}}"
00369,Cheap Red,None,Red,Black ERGoat Shirt,Missing Tooth,Crazy Blue,Red Wine,Red Energy,Ronin Hat,Sapphire Stud,922.5,"{""721"":{""ergoat-00369"":{""index"":00369,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Missing Tooth"",""eyes"":""Crazy Blue"",""wield"":""Red Wine"",""accessory"":""Red Energy"",""head"":""Ronin Hat"",""earring"":""Sapphire Stud""}}}"
00370,Lilac,Devil Tail,Orange,Drug Rug No1,Flopped,Stoned,Spirit Gun,3D Glasses No2,Rambo,None,782.1,"{""721"":{""ergoat-00370"":{""index"":00370,""generation"":1,""background"":""Lilac"",""back_accessory"":""Devil Tail"",""body"":""Orange"",""clothes"":""Drug Rug No1"",""mouth"":""Flopped"",""eyes"":""Stoned"",""wield"":""Spirit Gun"",""accessory"":""3D Glasses No2"",""head"":""Rambo"",""earring"":""None""}}}"
00371,Rojo,Battle Axe,Blue,Ronin Black,Pierced Tongue,Assassin Green,White Wine,Blue Energy,Santa Hat,Sapphire Stud,758.3,"{""721"":{""ergoat-00371"":{""index"":00371,""generation"":1,""background"":""Rojo"",""back_accessory"":""Battle Axe"",""body"":""Blue"",""clothes"":""Ronin Black"",""mouth"":""Pierced Tongue"",""eyes"":""Assassin Green"",""wield"":""White Wine"",""accessory"":""Blue Energy"",""head"":""Santa Hat"",""earring"":""Sapphire Stud""}}}"
00372,Movie Foam,Red Parrot,Brown,Lab Coat No1,Grin,Calm Purple,Trident,Face Cuts,War Helmet,None,847.4,"{""721"":{""ergoat-00372"":{""index"":00372,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""Red Parrot"",""body"":""Brown"",""clothes"":""Lab Coat No1"",""mouth"":""Grin"",""eyes"":""Calm Purple"",""wield"":""Trident"",""accessory"":""Face Cuts"",""head"":""War Helmet"",""earring"":""None""}}}"
00373,Sunshine,None,Purple,Santa Sweater,Gold Tooth,Angry Red,Cigarette,Reading Glasses,Dark Ronin Hat,Hanafudu No1,848.2,"{""721"":{""ergoat-00373"":{""index"":00373,""generation"":1,""background"":""Sunshine"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Santa Sweater"",""mouth"":""Gold Tooth"",""eyes"":""Angry Red"",""wield"":""Cigarette"",""accessory"":""Reading Glasses"",""head"":""Dark Ronin Hat"",""earring"":""Hanafudu No1""}}}"
00374,Seattle Proper,None,Gray,Negan Jacket,Grin,Calm Teal,Spiked Bat,Green Energy,Horns,Safety Pin,874.8,"{""721"":{""ergoat-00374"":{""index"":00374,""generation"":1,""background"":""Seattle Proper"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Negan Jacket"",""mouth"":""Grin"",""eyes"":""Calm Teal"",""wield"":""Spiked Bat"",""accessory"":""Green Energy"",""head"":""Horns"",""earring"":""Safety Pin""}}}"
00375,Red Window,Angel Wings,Gray,Dark Santa,Gold Tooth,Crazy Blue,Tie Dye Wine,Blue Energy,Ram Horns,Silver Hoop,753.8,"{""721"":{""ergoat-00375"":{""index"":00375,""generation"":1,""background"":""Red Window"",""back_accessory"":""Angel Wings"",""body"":""Gray"",""clothes"":""Dark Santa"",""mouth"":""Gold Tooth"",""eyes"":""Crazy Blue"",""wield"":""Tie Dye Wine"",""accessory"":""Blue Energy"",""head"":""Ram Horns"",""earring"":""Silver Hoop""}}}"
00376,Cheap Red,None,Brown,Negan Jacket,Tongue Tied,Shoujo,Cocktail,Red Collar,Blue Afro,Ergo Chain,770.8,"{""721"":{""ergoat-00376"":{""index"":00376,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Negan Jacket"",""mouth"":""Tongue Tied"",""eyes"":""Shoujo"",""wield"":""Cocktail"",""accessory"":""Red Collar"",""head"":""Blue Afro"",""earring"":""Ergo Chain""}}}"
00377,Sacre Bleu,Rainbow Angel Wings,Teal,Ronin Black,Grin,Angry Purple,Katana,Red Energy,Afro,Ergo Chain,821,"{""721"":{""ergoat-00377"":{""index"":00377,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""Rainbow Angel Wings"",""body"":""Teal"",""clothes"":""Ronin Black"",""mouth"":""Grin"",""eyes"":""Angry Purple"",""wield"":""Katana"",""accessory"":""Red Energy"",""head"":""Afro"",""earring"":""Ergo Chain""}}}"
00378,Watermelon,None,Yellow,Black Suit,Gritted Teeth,Calm Purple,Spirit Gun,Silver Chain Necklace,Green Beanie,Hanafudu No2,947,"{""721"":{""ergoat-00378"":{""index"":00378,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Black Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Purple"",""wield"":""Spirit Gun"",""accessory"":""Silver Chain Necklace"",""head"":""Green Beanie"",""earring"":""Hanafudu No2""}}}"
00379,Watermelon,None,Orange,Ronin Black,Screaming,Calm Purple,Red Wine,Evil Face Tattoo,Green Neon Horns,Pentagram,909.7,"{""721"":{""ergoat-00379"":{""index"":00379,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Ronin Black"",""mouth"":""Screaming"",""eyes"":""Calm Purple"",""wield"":""Red Wine"",""accessory"":""Evil Face Tattoo"",""head"":""Green Neon Horns"",""earring"":""Pentagram""}}}"
00380,Cloud Light,Bow and Arrows,Red,Orange Hawaiian Shirt,Smirk,Angry Purple,Christmas Mug,3D Glasses No1,Purple Beanie,None,761.8,"{""721"":{""ergoat-00380"":{""index"":00380,""generation"":1,""background"":""Cloud Light"",""back_accessory"":""Bow and Arrows"",""body"":""Red"",""clothes"":""Orange Hawaiian Shirt"",""mouth"":""Smirk"",""eyes"":""Angry Purple"",""wield"":""Christmas Mug"",""accessory"":""3D Glasses No1"",""head"":""Purple Beanie"",""earring"":""None""}}}"
00381,Lilac,Red Parrot,Green,Orange Hawaiian Shirt,Gritted Teeth,Heart,Snowball,Bronze Medal,Red Beanie,Silver Hoop,643.3,"{""721"":{""ergoat-00381"":{""index"":00381,""generation"":1,""background"":""Lilac"",""back_accessory"":""Red Parrot"",""body"":""Green"",""clothes"":""Orange Hawaiian Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Heart"",""wield"":""Snowball"",""accessory"":""Bronze Medal"",""head"":""Red Beanie"",""earring"":""Silver Hoop""}}}"
00382,Sacre Bleu,Battle Axe,Purple,Goats Jersey,Missing Tooth,Stoned,Trident,Nose Scar,Red Beanie,Present,705.5,"{""721"":{""ergoat-00382"":{""index"":00382,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""Battle Axe"",""body"":""Purple"",""clothes"":""Goats Jersey"",""mouth"":""Missing Tooth"",""eyes"":""Stoned"",""wield"":""Trident"",""accessory"":""Nose Scar"",""head"":""Red Beanie"",""earring"":""Present""}}}"
00383,Peach Line,Bow and Arrows,Gray,Lab Coat No2,Sharp,Calm Purple,Spiked Bat,3D Glasses No1,Dark Ronin Hat,Ergo Chain,759.8,"{""721"":{""ergoat-00383"":{""index"":00383,""generation"":1,""background"":""Peach Line"",""back_accessory"":""Bow and Arrows"",""body"":""Gray"",""clothes"":""Lab Coat No2"",""mouth"":""Sharp"",""eyes"":""Calm Purple"",""wield"":""Spiked Bat"",""accessory"":""3D Glasses No1"",""head"":""Dark Ronin Hat"",""earring"":""Ergo Chain""}}}"
00384,Good Morning,Rainbow Demon Wings,Green,Joker Suit,Missing Tooth,Heart,Christmas Mug,Green Energy,Super Blonde,Present,573,"{""721"":{""ergoat-00384"":{""index"":00384,""generation"":1,""background"":""Good Morning"",""back_accessory"":""Rainbow Demon Wings"",""body"":""Green"",""clothes"":""Joker Suit"",""mouth"":""Missing Tooth"",""eyes"":""Heart"",""wield"":""Christmas Mug"",""accessory"":""Green Energy"",""head"":""Super Blonde"",""earring"":""Present""}}}"
00385,Sun Belt,Monkey Tail,Gray,Pink Suit,Screaming,Angry Purple,Wolverine,Pentagram,Dark Cowboy Hat,Ergo Chain,792.1,"{""721"":{""ergoat-00385"":{""index"":00385,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""Monkey Tail"",""body"":""Gray"",""clothes"":""Pink Suit"",""mouth"":""Screaming"",""eyes"":""Angry Purple"",""wield"":""Wolverine"",""accessory"":""Pentagram"",""head"":""Dark Cowboy Hat"",""earring"":""Ergo Chain""}}}"
00386,Forever Sunshine,None,Yellow,Tat Blasted,Grin,Calm Purple,Cocktail,Gold Chain Necklace,Xmas Lights,Gold Hoop,836.4,"{""721"":{""ergoat-00386"":{""index"":00386,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Tat Blasted"",""mouth"":""Grin"",""eyes"":""Calm Purple"",""wield"":""Cocktail"",""accessory"":""Gold Chain Necklace"",""head"":""Xmas Lights"",""earring"":""Gold Hoop""}}}"
00387,Watermelon Stripe,Demon Wings,Gray,Goku Gi,Flopped,Calm Teal,Spirit Gun,Nose Scar,Snowy Tophat,Snowman,708.7,"{""721"":{""ergoat-00387"":{""index"":00387,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""Demon Wings"",""body"":""Gray"",""clothes"":""Goku Gi"",""mouth"":""Flopped"",""eyes"":""Calm Teal"",""wield"":""Spirit Gun"",""accessory"":""Nose Scar"",""head"":""Snowy Tophat"",""earring"":""Snowman""}}}"
00388,Pinot Noir Film,Nine Tales,Yellow,Ronin Black,Smirk,Angry Red,Trident,Red Collar,Green Beanie,Gold Hoop,811,"{""721"":{""ergoat-00388"":{""index"":00388,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Nine Tales"",""body"":""Yellow"",""clothes"":""Ronin Black"",""mouth"":""Smirk"",""eyes"":""Angry Red"",""wield"":""Trident"",""accessory"":""Red Collar"",""head"":""Green Beanie"",""earring"":""Gold Hoop""}}}"
00389,Mustard,Angel Wings,Purple,Dark Santa,Flopped,Crazy Yellow,Red Wine,Gold Chain Necklace,War Helmet,None,817.8,"{""721"":{""ergoat-00389"":{""index"":00389,""generation"":1,""background"":""Mustard"",""back_accessory"":""Angel Wings"",""body"":""Purple"",""clothes"":""Dark Santa"",""mouth"":""Flopped"",""eyes"":""Crazy Yellow"",""wield"":""Red Wine"",""accessory"":""Gold Chain Necklace"",""head"":""War Helmet"",""earring"":""None""}}}"
