ID,Total Rarity Score,Rarity,Background,Rarity,Back Accessory,Rarity,Body,Rarity,Clothes,Rarity,Mouth,Rarity,Eyes,Rarity,Wield,Rarity,Accessory,Rarity,Head,Rarity,Earring,Rarity
00377,214.4462793,314,Sacre Bleu,29.13043478,Rainbow Angel Wings,67,Teal,8.815789474,Ronin Black,16.34146341,Grin,8.58974359,Angry Purple,10.15151515,Katana,13.4,Red Energy,17.63157895,Afro,29.13043478,Ergo Chain,14.25531915
00378,149.0347235,650,Watermelon,31.9047619,None,1.942028986,Yellow,10,Black Suit,14.56521739,Gritted Teeth,8.933333333,Calm Purple,6.633663366,Spirit Gun,22.33333333,Silver Chain Necklace,10.80645161,Green Beanie,20.3030303,Hanafudu No2,21.61290323
00379,158.7669976,617,Watermelon,31.9047619,None,1.942028986,Orange,8.701298701,Ronin Black,16.34146341,Screaming,10.15151515,Calm Purple,6.633663366,Red Wine,17.17948718,Evil Face Tattoo,19.70588235,Green Neon Horns,23.10344828,Pentagram,23.10344828
00380,269.1024146,115,Cloud Light,55.83333333,Bow and Arrows,39.41176471,Red,11.55172414,Orange Hawaiian Shirt,74.44444444,Smirk,11.16666667,Angry Purple,10.15151515,Christmas Mug,15.95238095,3D Glasses No1,29.13043478,Purple Beanie,17.63157895,None,3.828571429
00381,349.6468507,33,Lilac,33.5,Red Parrot,18.10810811,Green,14.56521739,Orange Hawaiian Shirt,74.44444444,Gritted Teeth,8.933333333,Heart,95.71428571,Snowball,20.3030303,Bronze Medal,44.66666667,Red Beanie,19.70588235,Silver Hoop,19.70588235
00382,280.1599937,94,Sacre Bleu,29.13043478,Battle Axe,55.83333333,Purple,10.30769231,Goats Jersey,67,Missing Tooth,9.054054054,Stoned,13.1372549,Trident,19.14285714,Nose Scar,12.18181818,Red Beanie,19.70588235,Present,44.66666667
00383,243.7368866,174,Peach Line,67,Bow and Arrows,39.41176471,Gray,8.58974359,Lab Coat No2,22.33333333,Sharp,9.178082192,Calm Purple,6.633663366,Spiked Bat,16.75,3D Glasses No1,29.13043478,Dark Ronin Hat,30.45454545,Ergo Chain,14.25531915
00384,564.1391127,14,Good Morning,111.6666667,Rainbow Demon Wings,95.71428571,Green,14.56521739,Joker Suit,27.91666667,Missing Tooth,9.054054054,Heart,95.71428571,Christmas Mug,15.95238095,Green Energy,14.88888889,Super Blonde,134,Present,44.66666667
00385,202.2661512,374,Sun Belt,37.22222222,Monkey Tail,30.45454545,Gray,8.58974359,Pink Suit,26.8,Screaming,10.15151515,Angry Purple,10.15151515,Wolverine,12.40740741,Pentagram,29.13043478,Dark Cowboy Hat,23.10344828,Ergo Chain,14.25531915
00386,184.1587346,498,Forever Sunshine,27.91666667,None,1.942028986,Yellow,10,Tat Blasted,35.26315789,Grin,8.58974359,Calm Purple,6.633663366,Cocktail,22.33333333,Gold Chain Necklace,14.88888889,Xmas Lights,39.41176471,Gold Hoop,17.17948718
00387,292.6194303,83,Watermelon Stripe,37.22222222,Demon Wings,51.53846154,Gray,8.58974359,Goku Gi,83.75,Flopped,11.96428571,Calm Teal,8.815789474,Spirit Gun,22.33333333,Nose Scar,12.18181818,Snowy Tophat,30.45454545,Snowman,25.76923077
00388,201.5741698,378,Pinot Noir Film,31.9047619,Nine Tales,51.53846154,Yellow,10,Ronin Black,16.34146341,Smirk,11.16666667,Angry Red,11.3559322,Trident,19.14285714,Red Collar,12.64150943,Green Beanie,20.3030303,Gold Hoop,17.17948718
00389,230.3582253,232,Mustard,31.9047619,Angel Wings,14.47826087,Purple,10.30769231,Dark Santa,83.75,Flopped,11.96428571,Crazy Yellow,10.15151515,Red Wine,17.17948718,Gold Chain Necklace,14.88888889,War Helmet,31.9047619,None,3.828571429
00390,479.7103748,17,Fish,335,None,1.942028986,Red,11.55172414,Joker Suit,27.91666667,Gritted Teeth,8.933333333,Crazy Yellow,10.15151515,Dragon Ball,37.22222222,Nose Scar,12.18181818,Purple Beanie,17.63157895,Gold Hoop,17.17948718
00391,241.5152386,188,Lilac,33.5,Battle Axe,55.83333333,Gray,8.58974359,Lab Coat No1,20.9375,Sharp,9.178082192,Angry Red,11.3559322,Basketball,30.45454545,Blue Energy,18.10810811,Dark Ronin Hat,30.45454545,Disco Ball,23.10344828
00392,149.3151593,649,Rojo,30.45454545,None,1.942028986,Pink,10,Black Suit,14.56521739,Tongue Tied,14.88888889,Stoned,13.1372549,Cigarette,15.95238095,Red Collar,12.64150943,War Helmet,31.9047619,None,3.828571429
00393,184.409706,495,Sun Belt,37.22222222,None,1.942028986,Orange,8.701298701,White Suit,16.34146341,Pierced Tongue,15.95238095,Assassin Gray,13.1372549,Coconut,20.9375,Blue Energy,18.10810811,Royal Guard Hat,30.45454545,Hanafudu No2,21.61290323
00394,184.9978228,491,Clover Field,31.9047619,Devil Tail,37.22222222,Gray,8.58974359,Negan Jacket,41.875,Sharp,9.178082192,Calm Purple,6.633663366,Christmas Mug,15.95238095,Nose Scar,12.18181818,Purple Beanie,17.63157895,None,3.828571429
00395,213.7371154,317,Clover Field,31.9047619,Battle Axe,55.83333333,Teal,8.815789474,Ripped Suit,15.58139535,Pierced Tongue,15.95238095,Calm Purple,6.633663366,Coconut,20.9375,Red Collar,12.64150943,Rambo,23.10344828,Spikes,22.33333333
00396,237.6973799,202,Sunshine,31.9047619,None,1.942028986,Gray,8.58974359,White Suit,16.34146341,Smirk,11.16666667,Shoujo,39.41176471,Coconut,20.9375,Pentagram,29.13043478,Super Blue,74.44444444,None,3.828571429
00397,235.8947456,210,Opening Scene,74.44444444,Blue Katana,30.45454545,Purple,10.30769231,Negan Jacket,41.875,Grin,8.58974359,Angry Purple,10.15151515,Flame,22.33333333,Silver Chain Necklace,10.80645161,Dark Cowboy Hat,23.10344828,None,3.828571429
00398,282.6264079,91,Airport Night,134,None,1.942028986,Pink,10,Santa,51.53846154,Sharp,9.178082192,Angry Purple,10.15151515,Wolverine,12.40740741,Reading Glasses,13.4,Green Beanie,20.3030303,Silver Hoop,19.70588235
00399,273.1141007,103,Opening Scene,74.44444444,Blue Katana,30.45454545,Blue,9.436619718,Green Ninja Armor,74.44444444,Screaming,10.15151515,Angry Red,11.3559322,Wolverine,12.40740741,Gold Chain Necklace,14.88888889,Green Beanie,20.3030303,Diamond Stud,15.22727273
00400,246.4596155,162,Lilac,33.5,Demon Wings,51.53846154,Red,11.55172414,White Suit,16.34146341,Gold Tooth,14.25531915,Stoned,13.1372549,Cupcake,25.76923077,Red Scouter,37.22222222,Blue Afro,27.91666667,Diamond Stud,15.22727273
00401,209.9055176,337,Airline Scarf,74.44444444,None,1.942028986,Gray,8.58974359,Black ERGoat Shirt,14.25531915,Missing Tooth,9.054054054,Calm Purple,6.633663366,Cigarette,15.95238095,Pentagram,29.13043478,Blue Flame,26.8,Pentagram,23.10344828
00402,184.0054595,499,Summer,35.26315789,None,1.942028986,Brown,11.3559322,Pink Suit,26.8,Sharp,9.178082192,Stoned,13.1372549,Cupcake,25.76923077,Red Collar,12.64150943,Dark Cowboy Hat,23.10344828,Ruby Stud,24.81481481
00403,228.822491,239,Skyism,35.26315789,Battle Axe,55.83333333,Pink,10,Lab Coat No1,20.9375,Grin,8.58974359,Stoned,13.1372549,Christmas Mug,15.95238095,Red Scouter,37.22222222,Purple Beanie,17.63157895,Ergo Chain,14.25531915
00404,163.3403984,593,Watermelon,31.9047619,None,1.942028986,Teal,8.815789474,Negan Jacket,41.875,Sharp,9.178082192,Crazy Yellow,10.15151515,Trident,19.14285714,Gold Chain Necklace,14.88888889,Cowboy Hat,21.61290323,None,3.828571429
00405,219.0171395,292,Summer,35.26315789,Monkey Tail,30.45454545,Orange,8.701298701,Ronin White,33.5,Grin,8.58974359,Super,41.875,Necronomicon,21.61290323,Green Energy,14.88888889,Green Beanie,20.3030303,None,3.828571429
00406,196.8637037,410,Watermelon,31.9047619,None,1.942028986,Teal,8.815789474,Holiday ERGoat Shirt,31.9047619,Grin,8.58974359,Crazy Yellow,10.15151515,Necronomicon,21.61290323,Reading Glasses,13.4,Xmas Lights,39.41176471,Snow Globe,29.13043478
00407,189.4740467,461,Bloodshot,35.26315789,Green Parrot,21.5,Gray,8.58974359,Lab Coat No2,22.33333333,Smirk,11.16666667,Assassin Green,11.3559322,Spiked Bat,16.75,Evil Face Tattoo,19.70588235,Rambo,23.10344828,Silver Hoop,19.70588235
00408,241.2678295,190,Peach Line,67,None,1.942028986,Pink,10,Orange Hawaiian Shirt,74.44444444,Gold Tooth,14.25531915,Angry Purple,10.15151515,Wolverine,12.40740741,Blue Energy,18.10810811,Orange Afro,29.13043478,None,3.828571429
00409,232.9403592,222,Watermelon Stripe,37.22222222,Dark Angel Wings,67,Gray,8.58974359,Black Suit,14.56521739,Tongue Tied,14.88888889,Crazy Yellow,10.15151515,Katana,13.4,Gold Chain Necklace,14.88888889,Horns,23.10344828,Snow Globe,29.13043478
00410,176.3025358,532,Movie Foam,35.26315789,None,1.942028986,Blue,9.436619718,Black Suit,14.56521739,Flopped,11.96428571,Crazy Blue,9.305555556,Cocktail,22.33333333,Green Energy,14.88888889,Pink Neon Horns,33.5,Disco Ball,23.10344828
00411,175.9714264,533,Cheap Red,29.13043478,Red Parrot,18.10810811,Pink,10,Holiday Suit,23.92857143,Sharp,9.178082192,Crazy Yellow,10.15151515,Spiked Bat,16.75,Silver Chain Necklace,10.80645161,Ronin Hat,24.81481481,Disco Ball,23.10344828
00412,188.895494,470,Island in Blood,74.44444444,None,1.942028986,Yellow,10,Joker Suit,27.91666667,Snake,14.25531915,Calm Teal,8.815789474,Wolverine,12.40740741,Nose Scar,12.18181818,Green Neon Horns,23.10344828,None,3.828571429
00413,172.2055268,548,Peach Line,67,None,1.942028986,Gray,8.58974359,Ripped Suit,15.58139535,Missing Tooth,9.054054054,Angry Red,11.3559322,Flame,22.33333333,Green Energy,14.88888889,Purple Beanie,17.63157895,None,3.828571429
00414,219.4491149,290,Water Hole,37.22222222,Angel Wings,14.47826087,Teal,8.815789474,Black Suit,14.56521739,Sharp,9.178082192,Shoujo,39.41176471,Cupcake,25.76923077,Gray Collar,16.34146341,Xmas Lights,39.41176471,Ergo Chain,14.25531915
00415,176.6328842,528,Bloodshot,35.26315789,None,1.942028986,Pink,10,Joker Suit,27.91666667,Tongue Tied,14.88888889,Calm Teal,8.815789474,White Wine,13.67346939,Blue Energy,18.10810811,Dark Horns,27.91666667,Safety Pin,18.10810811
00416,154.9532413,632,Crime Scene,29.13043478,None,1.942028986,Red,11.55172414,Lab Coat No2,22.33333333,Gold Tooth,14.25531915,Calm Teal,8.815789474,Christmas Mug,15.95238095,Red Collar,12.64150943,Horns,23.10344828,Diamond Stud,15.22727273
00417,193.1041505,435,Skyism,35.26315789,None,1.942028986,Pink,10,Santa,51.53846154,Flopped,11.96428571,Angry Red,11.3559322,Christmas Mug,15.95238095,Red Collar,12.64150943,Purple Beanie,17.63157895,Ruby Stud,24.81481481
00418,202.8936488,369,Score Line,30.45454545,Red Parrot,18.10810811,Orange,8.701298701,Bulls Jersey,51.53846154,Pierced Tongue,15.95238095,Crazy Yellow,10.15151515,Tie Dye Wine,14.25531915,Face Cuts,26.8,Dark Cowboy Hat,23.10344828,None,3.828571429
00419,233.1677553,220,Airline Scarf,74.44444444,Green Parrot,21.5,Blue,9.436619718,Black Suit,14.56521739,Grin,8.58974359,Calm Purple,6.633663366,Wolverine,12.40740741,Mustache,27.91666667,Santa Hat,31.9047619,Snowman,25.76923077
00420,219.7353404,288,Opening Scene,74.44444444,None,1.942028986,Purple,10.30769231,Holiday ERGoat Shirt,31.9047619,Flopped,11.96428571,Calm Teal,8.815789474,Katana,13.4,Gold Chain Necklace,14.88888889,Dark Ronin Hat,30.45454545,Hanafudu No2,21.61290323
00421,167.3285718,576,Monochrome,27.91666667,Green Parrot,21.5,Pink,10,White Suit,16.34146341,Smirk,11.16666667,Crazy Blue,9.305555556,Katana,13.4,Gold Chain Necklace,14.88888889,Red Beanie,19.70588235,Disco Ball,23.10344828
00422,292.9767128,82,Hazy Eve,44.66666667,None,1.942028986,Gray,8.58974359,Black Suit,14.56521739,Gold Tooth,14.25531915,Ergo,111.6666667,Wolverine,12.40740741,Gray Collar,16.34146341,Xmas Lights,39.41176471,Snow Globe,29.13043478
00423,182.55609,508,Crime Scene,29.13043478,Bag of Toys,39.41176471,Red,11.55172414,Ripped Suit,15.58139535,Gold Tooth,14.25531915,Assassin Green,11.3559322,Coconut,20.9375,Reading Glasses,13.4,Dark Cowboy Hat,23.10344828,None,3.828571429
00424,224.3673109,253,Cheap Red,29.13043478,Monkey Tail,30.45454545,Pink,10,Baphomet,21.61290323,Snake,14.25531915,Assassin Green,11.3559322,Cocktail,22.33333333,Red Collar,12.64150943,Blue Afro,27.91666667,Present,44.66666667
00425,174.7576041,539,Watermelon,31.9047619,None,1.942028986,Teal,8.815789474,Ronin Black,16.34146341,Gold Tooth,14.25531915,Calm Purple,6.633663366,Cupcake,25.76923077,3D Glasses No1,29.13043478,Purple Beanie,17.63157895,Spikes,22.33333333
00426,151.2076342,645,Forever Sunshine,27.91666667,None,1.942028986,Blue,9.436619718,Ripped Suit,15.58139535,Screaming,10.15151515,Angry Purple,10.15151515,Red Wine,17.17948718,Red Collar,12.64150943,Rambo,23.10344828,Disco Ball,23.10344828
00427,192.9687699,437,Pinot Noir Film,31.9047619,Bag of Toys,39.41176471,Orange,8.701298701,Ronin White,33.5,Pierced Tongue,15.95238095,Angry Purple,10.15151515,Tie Dye Wine,14.25531915,Red Energy,17.63157895,Purple Beanie,17.63157895,None,3.828571429
00428,244.3960001,173,Gum,60.90909091,None,1.942028986,Green,14.56521739,White ERGoat Shirt,19.70588235,Flopped,11.96428571,Assassin Green,11.3559322,Necronomicon,21.61290323,Green Scouter,44.66666667,Santa Hat,31.9047619,Sapphire Stud,25.76923077
00429,159.3401091,614,Movie Foam,35.26315789,Angel Wings,14.47826087,Pink,10,Black Suit,14.56521739,Missing Tooth,9.054054054,Calm Purple,6.633663366,Christmas Mug,15.95238095,Nose Scar,12.18181818,Horns,23.10344828,Safety Pin,18.10810811
00430,229.7064426,234,Psycho,41.875,Bumble Bee,55.83333333,Gray,8.58974359,Pink Suit,26.8,Gritted Teeth,8.933333333,Crazy Blue,9.305555556,Cigarette,15.95238095,Silver Chain Necklace,10.80645161,Santa Hat,31.9047619,Silver Hoop,19.70588235
00431,249.358731,154,Pinot Noir Film,31.9047619,Bumble Bee,55.83333333,Brown,11.3559322,Santa,51.53846154,Screaming,10.15151515,Angry Purple,10.15151515,Wolverine,12.40740741,Pentagram,29.13043478,Red Beanie,19.70588235,Gold Hoop,17.17948718
00432,216.8155722,305,Cheap Red,29.13043478,None,1.942028986,Red,11.55172414,Drug Rug No2,95.71428571,Sharp,9.178082192,Calm Purple,6.633663366,Cocktail,22.33333333,Reading Glasses,13.4,Dark Cowboy Hat,23.10344828,None,3.828571429
00433,240.9818033,192,Movie Foam,35.26315789,Buster Sword,74.44444444,Pink,10,White Suit,16.34146341,Grin,8.58974359,Calm Purple,6.633663366,Katana,13.4,Evil Face Tattoo,19.70588235,Horns,23.10344828,Hanafudu No1,33.5
00434,201.5648953,379,Peach Line,67,Angel Wings,14.47826087,Teal,8.815789474,Purple Hawaiian Shirt,41.875,Gritted Teeth,8.933333333,Calm Purple,6.633663366,Tie Dye Wine,14.25531915,Red Collar,12.64150943,Green Neon Horns,23.10344828,None,3.828571429
00435,177.6060373,527,Mustard,31.9047619,None,1.942028986,Brown,11.3559322,Baphomet,21.61290323,Pierced Tongue,15.95238095,Calm Purple,6.633663366,Cocktail,22.33333333,Gray Collar,16.34146341,Blue Afro,27.91666667,Hanafudu No2,21.61290323
00436,218.4261314,295,Forever Sunshine,27.91666667,Devil Tail,37.22222222,Yellow,10,Lab Coat No2,22.33333333,Sharp,9.178082192,Assassin Green,11.3559322,Spirit Gun,22.33333333,Gray Collar,16.34146341,Xmas Lights,39.41176471,Spikes,22.33333333
